,Method,Perfermance,Percentage Profit,Profit Factor,Percentage Drawdown,Recovery Factor,Sharpe Ratio,Sortino Ratio
monthly,,mean,-0.42929676666666383,0.9629679157727594,1.0299782560804729,0.2901049775959157,-0.9576317749514348,-1.6283732570966112
monthly,,std,0.9354804678379217,0.5709654849485999,0.9410701401897112,1.4453605468157469,3.6083287723614093,6.6690500914611155
monthly,,wse,-2.108583799999997,0.22998327179323907,0.145020978520285,-0.9527653885738496,-8.242843258557462,-18.737891910942015
