,Method,Perfermance,Percentage Profit,Profit Factor,Percentage Drawdown,Recovery Factor,Sharpe Ratio,Sortino Ratio
earning_filter_0.1,,mean,0.08951326666666777,1.3407492422950398,0.6711548193240082,0.7176841136359912,-0.0977588812460229,0.4144156798793353
earning_filter_0.1,,std,0.7906894962831491,1.2253237840379334,0.37770218835225006,2.2783621743105633,3.776331354605248,9.537141702874933
earning_filter_0.1,,wse,-0.7864991000000043,0.4425715291624563,0.1524179579137319,-0.7773492044648839,-4.327432908642508,-14.314748800680192
earning_filter_0.2,,mean,0.08314184166666554,1.2577594038588262,0.7054625345064293,0.5429769178776583,-0.23617669163870267,0.5588628611710332
earning_filter_0.2,,std,0.7825820543884937,1.0703167177846924,0.3667930434672229,1.877728320313937,3.775002272378833,8.424418995431294
earning_filter_0.2,,wse,-0.73936,0.43911409192922357,0.22452937730440084,-0.9009201122230489,-4.435630112414172,-9.804077795869198
earning_filter_0.3,,mean,0.07674396666667027,1.203348586823482,0.7517998184276454,0.40568924275468254,-0.3157480032087545,0.5019951022704869
earning_filter_0.3,,std,0.783946161349355,0.976350709060764,0.3498961464826271,1.5696672061659223,3.7554988424109346,7.8929856161766585
earning_filter_0.3,,wse,-0.6922231000000001,0.36029768518975247,0.3114327516039427,-0.904069244252242,-5.373456151128939,-7.931769174797011
earning_filter_0.4,,mean,0.07031946666666382,1.1648143874425927,0.8056161745244337,0.32030863268696474,-0.3671880782905254,0.3161486240481752
earning_filter_0.4,,std,0.7947136053850878,0.9033922928164956,0.33395232621836063,1.3924890244598387,3.715119900916508,7.410324208962513
earning_filter_0.4,,wse,-0.6450881999999991,0.3428370282501399,0.39828253921466744,-0.9046033544971258,-5.88855479403112,-7.858773036924702
earning_filter_0.5,,mean,0.0638682083333351,1.1341060844742268,0.8608500768322435,0.2637982367033121,-0.4054537317073419,0.1370806152505677
earning_filter_0.5,,std,0.8144925590504831,0.8434908915618835,0.32340890057299226,1.2750349167509214,3.665356349673033,7.123535927361009
earning_filter_0.5,,wse,-0.635169499999999,0.3352442561254781,0.4850786647919993,-0.9049044285236312,-6.184627404044806,-9.270947439083308
earning_filter_0.6,,mean,0.05739007500000041,1.1108250722419888,0.9180473504021841,0.22492662775023098,-0.43699729108159496,-0.019733414238406393
earning_filter_0.6,,std,0.8426302349487507,0.7961842519267494,0.31900246220373796,1.1913202965124188,3.6137098210636314,6.840842680043015
earning_filter_0.6,,wse,-0.7594033999999916,0.33011920190508365,0.567068310136899,-0.9050904734827169,-6.360272505518418,-10.15025947339912
earning_filter_0.7,,mean,0.05088490833333459,1.086949895306519,0.976127191995431,0.19721817509279846,-0.4644955830293671,-0.07301457543338397
earning_filter_0.7,,std,0.8783058858684607,0.7412371408643581,0.3212632497493656,1.1297054150260246,3.563732196775518,6.321113678338862
earning_filter_0.7,,wse,-0.8872182999999922,0.32642715238224107,0.6096605296345424,-0.9052112750350003,-6.465212686286039,-9.877318111250927
earning_filter_0.8,,mean,0.044352550000000455,1.067543544654572,1.038513093615229,0.1784783163209566,-0.48901809952266745,-0.29425527215566655
earning_filter_0.8,,std,0.920626508964565,0.6968839840243513,0.32842293310624576,1.0822612591987557,3.5168285663421615,6.020911961586997
earning_filter_0.8,,wse,-1.014912899999998,0.3236411567755069,0.6522444498430169,-0.9052915128282318,-6.526148410874285,-10.403209773668284
earning_filter_0.9,,mean,0.037792841666666376,1.0511820923521717,1.1022529353182382,0.1627625781388946,-0.5109815494640456,-0.40828065633095206
earning_filter_0.9,,std,0.9687053008089054,0.6604897551645231,0.34045781990839985,1.0444222250350412,3.473439177300832,5.834264128442484
earning_filter_0.9,,wse,-1.1424872000000086,0.3214642591176788,0.6948200552314575,-0.9053448035399596,-6.558342722854174,-10.834728845741926
earning_filter_1.0,,mean,0.03120564166666599,1.0371605349944597,1.1667193272396037,0.14943199127466145,-0.5305599103854232,-0.4643547557465415
earning_filter_1.0,,std,1.021714239386636,0.6302440677970595,0.35685537696998415,1.013720156145877,3.4336177286694385,5.79333946007604
earning_filter_1.0,,wse,-1.2699414000000075,0.31971646402298864,0.7373873322624852,-0.9053793564836898,-6.570995895453544,-11.190403809494184
earning_filter_1.1,,mean,0.024590849999998426,1.025444659184408,1.2314478869165741,0.13914036008924668,-0.547854505481,-0.4852367715276296
earning_filter_1.1,,std,1.0789120488664994,0.6052221830894979,0.3770435780453347,0.9895334255762581,3.397277519204035,5.592660511107908
earning_filter_1.1,,wse,-1.3972753000000004,0.3182825099317445,0.771963246175661,-0.9054001760679066,-6.569922629750406,-10.596263033948613
earning_filter_1.2,,mean,0.01794825000000407,1.0154709630166907,1.2965177750538814,0.13134587240421294,-0.5629592540084368,-0.547424230654718
earning_filter_1.2,,std,1.1396541631867583,0.5845261919579324,0.4002422035704503,0.9703604559538422,3.3642792616972423,5.535689211093974
earning_filter_1.2,,wse,-1.524489200000001,0.31708483962848044,0.8017550057647143,-0.90541077789145,-6.55894867220446,-10.803050306120848
earning_filter_1.3,,mean,0.011277741666665397,1.007334235985074,1.3615661545385027,0.1252703844294977,-0.5759786601323855,-0.6275926084457023
earning_filter_1.3,,std,1.203390664435299,0.5671044798293695,0.4263431003110611,0.9554403928827971,3.3344563888942016,5.530312957979711
earning_filter_1.3,,wse,-1.6515831000000092,0.31606965775098467,0.8315487641366781,-0.9054135248324101,-6.540673590584663,-10.972760764708344
earning_filter_1.4,,mean,0.004579158333331557,1.0003990576507558,1.4283570908411773,0.12121557104452078,-0.5870305273808666,-0.6392132887422471
