,earning_filter,earning_filter,earning_filter,granularity,granularity,granularity,regression,regression,regression,nnpca,nnpca,nnpca,best,best,best
Method,,,,,,,,,,,,,,,
Perfermance,mean,std,wse,mean,std,wse,mean,std,wse,mean,std,wse,mean,std,wse
Percentage Profit,-0.1558970833333312,0.3110724650720044,-0.5861530999999975,-0.02010735000000004,0.3563279521962355,-0.6217824999999899,-0.02242963333333366,0.6531099861084545,-1.0424635999999987,0.265771433333333,0.6974039136846625,-0.5270671999999976,-0.10022189999999616,0.4285927112709639,-0.9434575999999972
Profit Factor,0.9042858086224642,0.2570517362141465,0.5734709590670297,1.0590928508475475,0.5855623013101792,0.5043499340124418,1.4039522041784283,1.0539633048679662,0.41593148032831956,2.2349149206848384,2.957390682780854,0.3800882251387253,0.989865413222825,0.4643518425620467,0.2099495065123533
Percentage Drawdown,0.6817131979486112,0.2293833381797903,0.35528441965982144,0.3935495940168237,0.25492632222187106,0.09514095389572869,0.5137439289656102,0.4262001142691059,0.11548762012466805,0.4838327780135172,0.25786183148744235,0.06497564500055394,0.5443946507172072,0.2859407824176473,0.23211526456548048
Recovery Factor,-0.1581708841854266,0.5041420479233468,-0.7028155335206324,0.29455209579594777,1.2193646795177937,-0.8895856975897202,0.8638400256192994,2.013956896757911,-0.8934167583754192,2.4966263077407476,5.653774559610652,-0.7837851221455993,0.0638213459333702,0.7826013877681236,-0.92705812714248
Sharpe Ratio,-0.7797456852295822,1.6137786207015132,-3.233014348340512,-0.5133581230454497,2.6858816882959755,-3.986630880355113,0.4721016699136384,3.9006443674336055,-5.078832650845396,0.9960969177612049,4.62552470200208,-4.730146249642141,-0.6556320185355723,3.014430371332146,-7.702342443918106
Sortino Ratio,-1.1916103622988483,2.582095746814769,-4.857531500067933,0.010293621883841494,5.614751436770114,-6.948733557590591,1.4094927986201222,6.524572952752216,-8.521901549957411,4.054771956574702,11.73713670299244,-6.63430409990615,-0.8189747185151309,4.541653315604076,-11.0783097807937
